id	name	nameReading	variations	website
kodansha	講談社	コウダンシャ	'講談社'	https://www.kodansha.co.jp/
shueisha	集英社	シュウエイシャ	'集英社'	https://www.shueisha.co.jp/
shueishaCreative	集英社クリエイティブ	シュウエイシャクリエイティブ	'集英社クリエイティブ'	http://www.shueisha-cr.co.jp/
shogakukan	小学館	ショウガクカン	'小学館'	https://www.shogakukan.co.jp/
shogakukanCreative	小学館クリエイティブ	ショウガクカンクリエイティブ	'小学館クリエイティブ'	http://www.shogakukan-cr.co.jp/
kadokawa	KADOKAWA	カドカワ	'kadokawa','ブシロードメディア','ノーツ'	https://www.kadokawa.co.jp/
squareEnix	スクウェア・エニックス	スクウェアエニックス	'スクウェアエニックス'	https://magazine.jp.square-enix.com/
akitashoten	秋田書店	アキタショテン	'秋田書店'	https://www.akitashoten.co.jp/
hakusensha	白泉社	ハクセンシャ	'白泉社'	http://www.hakusensha.co.jp/
houbunsha	芳文社	ホウブンシャ	'芳文社'	http://houbunsha.co.jp/
ichijinsha	一迅社	イチジンシャ	'一迅社','講談社一迅社'	https://www.ichijinsha.co.jp/
shonengahosha	少年画報社	ショウネンガホウシャ	'少年画報社'	http://www.shonengahosha.co.jp/
takeshobo	竹書房	タケショボウ	'竹書房'	http://www.takeshobo.co.jp/
futabasha	双葉社	フタバシャ	'双葉社'	https://www.futabasha.co.jp/
shinchosha	新潮社	シンチョウシャ	'新潮社'	https://www.shinchosha.co.jp/
magGarden	マッグガーデン	マッグガーデン	'マッグガーデン'	http://mag-garden.co.jp/
earthStar	アース・スター エンターテイメント	アーススターエンターテイメント	'アーススターエンターテイメント','泰文堂'	https://www.earthstar.jp/
gentosha	幻冬舎コミックス	ゲントウシャコミックス	'幻冬舎コミックス','幻冬舎'	http://www.gentosha-comics.net/
tokuma	徳間書店	トクマショテン	'徳間書店'	http://www.tokuma.jp/
leed	リイド社	リイドシャ	'リイド社'	https://www.leed.co.jp/
flexComix	フレックスコミックス	フレックスコミックス	'フレックスコミックス'	https://flex-comix.jp/
shinshokan	新書館	シンショカン	'新書館'	https://www.shinshokan.co.jp/
shodensha	祥伝社	ショウデンシャ	'祥伝社'	https://www.shodensha.co.jp/
ohzora	宙出版	オオゾラシュッパン	'宙出版'	http://www.ohzora.co.jp/
fusion	ふゅーじょんぷろだくと	フュージョンプロダクト	'フュージョンプロダクト'	http://www.comicbox.co.jp/
ktcom	キルタイムコミュニケーション	キルタイムコミュニケーション	'キルタイムコミュニケーション'	http://ktcom.jp/
jitsugyo	実業之日本社	ジツギョウノニホンシャ	'実業之日本社'	http://www.j-n.co.jp/
nihonbungeisha	日本文芸社	ニホンブンゲイシャ	'日本文芸社'	https://www.nihonbungeisha.co.jp/
bunshun	文藝春秋	ブンゲイシュンジュウ	'文藝春秋'	https://www.shogakukan.co.jp/
bunkasha	ぶんか社	ブンカシャ	'ブンカ社'	http://www.bunkasha.co.jp/
takarajima	宝島社	タカラジマシャ	'宝島社'	https://tkj.jp/
shufu	主婦と生活社	シュフトセイカツシャ	'主婦ト生活社'	http://www.shufu.co.jp/
wani	ワニブックス	ワニブックス	'ワニブックス'	https://www.wani.co.jp/
fusosha	扶桑社	フソウシャ	'扶桑社'	https://www.fusosha.co.jp/
hobbyjapan	ホビージャパン	ホビージャパン	'ホビージャパン'	http://hobbyjapan.co.jp/
ohta	太田出版	オオタシュッパン	'太田出版'	http://www.ohtabooks.com/
eastpress	イースト・プレス	イーストプレス	'イーストプレス'	https://www.eastpress.co.jp/
tosuisha	冬水社	トウスイシャ	'冬水社'	http://www.tosuisha.co.jp/
tokyomangasha	東京漫画社	トウキョウマンガシャ	'東京漫画社'	http://www.tokyomangasha.com/
kobunsha	光文社	コウブンシャ	'光文社'	https://www.kobunsha.com/
seikaisha	星海社	セイカイシャ	'星海社'	https://www.seikaisha.co.jp/
overLap	オーバーラップ	オーバーラップ	'オーバーラップ'	https://over-lap.co.jp/
frontierworks	フロンティアワークス	フロンティアワークス	'フロンティアワークス'	http://www.fwinc.co.jp/
usio	潮出版社	ウシオシュッパンシャ	'潮出版社'	http://www.usio.co.jp/
asahiPub	朝日新聞出版	アサヒシンブンシュッパン	'朝日新聞出版'	https://publications.asahi.com/
kosaido	廣済堂	コウサイドウ	'廣済堂'	https://www.kosaido.co.jp/
magazineHouse	マガジンハウス	マガジンハウス	'マガジンハウス'	https://magazineworld.jp/
heroes	ヒーローズ	ヒーローズ	'ヒーローズ'	https://viewer.heros-web.com/
got	ジーオーティー	ジーオーティー	'ジーオーティー'	http://www.gotbb.jp/
lineDigitalFrontier	LINE Digital Frontier	ラインデジタルフロンティア	'linedigitalfrontier','linedigitalfrontie'	https://manga.line.me/
golfDigest	ゴルフダイジェスト社	ゴルフダイジェストシャ	'ゴルフダイジェスト社'	https://www.golfdigest.co.jp/digest/
microMagazine	マイクロマガジン社	マイクロマガジンシャ	'マイクロマガジン社'	https://micromagazine.net/
alphaPolis	アルファポリス	アルファポリス	'アルファポリス'	https://www.alphapolis.co.jp/
asukaShinsha	飛鳥新社	アスカシンシャ	'飛鳥新社'	http://www.asukashinsha.co.jp/
saiz	彩図社	サイズシャ	'彩図社'	https://www.saiz.co.jp/
toBooks	TOブックス	ティーオーブックス	'toブックス'	http://www.tobooks.jp/
dena	DeNA	ディーエヌエー	'dena'	https://dena.com/jp/
nhnComico	NHN comico	エヌエッチエヌコミコ	'nhncomico'	http://www.nhn-comico.com/
ringo	林檎プロモーション	リンゴプロモーション	'林檎プロモーション'	http://www.ringo.ne.jp/
seisensha	青泉社	セイセンシャ	'青泉社','青泉社千代田区'	http://seisensha.co.jp/
homesha	ホーム社	ホームシャ	'ホーム社'	http://www.homesha.jp/
pia	ぴあ	ピア	'ピア'	http://piabook.com/
libre	リブレ	リブレ	'リブレ','リブレ出版'	https://libre-inc.co.jp/
dogenzakashobo	道玄坂書房	ドウゲンザカショボウ	'道玄坂書房'	https://dogenzakashobo.jp/
komakusa	駒草出版	コマクサシュッパン	'駒草出版'	https://www.komakusa-pub.jp/
kosaido	廣済堂出版	コウサイドウシュッパン	'廣済堂出版'	https://www.kosaido-pub.co.jp/
bioMagazine	ビオ・マガジン	ビオマガジン	'ビオマガジン'	https://www.biomagazine.co.jp/
nsp	ノース・スターズ・ピクチャーズ	ノーススターズピクチャーズ	'ノーススターズピクチャーズ'	http://www.nsp.tv/
gzBrain	Gzブレイン	ジーズブレイン	'gzブレイン'	http://gzbrain.jp/
fieldY	フィールドワイ	フィールドワイ	'フィールドワイ'	http://www.field-y.co.jp/
soudosha	創土社	ソウドシャ	'創土社'	http://www.soudosha.jp/
rittorsha	立東舎	リットウシャ	'立東舎'	http://rittorsha.jp/
hifumi	一二三書房	ヒフミショボウ	'一二三書房'	https://www.hifumi.co.jp/
sankeiBooks	産経新聞出版	サンケイシンブンシュッパン	'産経新聞出版'	http://www.sankei-books.co.jp
shufunotomo	主婦の友社	シュフノトモシャ	'主婦ノ友社'	https://shufunotomo.co.jp/
chuko	中央公論新社	チュウオウコウロンシンシャ	'中央公論新社'	https://www.chuko.co.jp/
